Organisation Name,Project Title,Project Description,Region,Amount
Second Chances SA Inc,DOING DATA BETTER for PKs (prisoner's kids) and their families,"Purchase a Client Relationship Management (CRM) database to enhance administration efficiencies, to support 700 at-risk children and their families from across metropolitan Adelaide.",Whole of metropolitan area,"$13,780 "
SecondBite,Freezer expansion,"Expansion of the freezer to cater for an increased volume of donated goods, benefiting 80,000 disadvantaged members of the community throughout metropolitan South Australia.","Whole of metropolitan area, Adelaide Hills","$5,000 "
SecondBite,Improve workplace health and safety for volunteers and community agency personnel,"Purchase health and safety equipment to support 300 volunteers who provide free services to disadvantaged people across Adelaide that improve health, wellbeing and social inclusion.","Whole of metropolitan area, Adelaide Hills","$1,036 "
Seeds of Affinity,Respect and Connect,"Employ a staff member to work with female volunteers who provide support and services that enhance wellbeing and resilience for 1,000 female offenders from Northern, Southern and Western Adelaide.","Northern Adelaide, Southern Adelaide, Western Adelaide","$13,168 "
Sexual Health Information Networking & Education SA Inc (SHine SA),Same Sex Gender Diverse Formal 2016,"Contribute funds to a $10,000 project to hold the Same Sex Gender Diverse Formal 2016 on 26 November 2016 for 220 same sex attracted and/or gender diverse people aged 15 to 21 years old. The event will celebrate diversity, encourage social inclusion and increase young people's confidence and resilience.",Statewide,"$2,600 "
Shruthi Adelaide Incorporated,Celebration of Womanhood,Bringing together 360 Women and families from Culturally and Linguistically Diverse Communities to celebrate the role of women in India.,Whole of metropolitan area,"$3,170 "
Shruthi Adelaide Incorporated,Young Talents Day,"Contribute towards the Young Talents Day, an Indian festival for youngsters under the age of 26, with an aim to assist newly arrived socially isolated migrant families integrate with the wider community.","Adelaide Hills, Eastern Adelaide, Northern Adelaide, Southern Adelaide, Western Adelaide","$3,020 "
SIN,Multicultural Project Officer (CALD),"Employ a Multicultural Project Officer who will engage in regular outreach to targeted communities, as well as offering intensive assistance, new worker training, information and education dissemination, and consultation. These activities will increase the communities capacity to negotiate safer sex practices and make informed decisions.","Adelaide Hills, Barossa, Eastern Adelaide, Eyre and Western, Fleurieu and Kangaroo Island, Limestone Coast, Murray and Mallee, Northern Adelaide, Southern Adelaide, Western Adelaide, Yorke and Mid North, Statewide, Whole of metropolitan area, Whole of rural area, Far North","$25,130 "
Sinhala Broadcasting Service of South Australia Incorporated,Community Radio Program,Purchase equipment and provide training to volunteers from the Sri Lankan community to improve their skills and knowledge.,Statewide,"$2,500 "
Somali Bantu Community Association Of Australia,Community tours,"Fund a  part time project coordinator to support volunteers, and facilitate community activities for 450 people from Somalia with a Bantu cultural and language background, from across South Australia, to improve wellbeing and resilience through connectedness with each other and the wider community.",Statewide,"$5,000 "
Soroptimist International Club of Murray Bridge,Murray Mallee Community Wig Library,"Establish a volunteer run 'Wig Library',  to support 25 women from the Murray Mallee region who have lost their hair through illness and/or treatment, and have minimal income and limited opportunity to access services.",Murray and Mallee,"$2,000 "
South Australia Bor Community Association Inc,Annual Bor Community National Day,A contribution towards the Annual Bor Community National Day on the 27 May 2017. An event primarily for 400 Bor people.,Northern Adelaide,"$3,053 "
South Australia Bor Community Association Inc,Communication tools to improve information flows,Purchase computing equipment to provide the organisation with the resources it need to communicate with 500 families who are culturally and linguistically diverse and from the Northern Adelaide.,Northern Adelaide,"$3,450 "
South Australia Telangana Association,Telangana Sambharalu & Bathukamma Festival,"Contribute towards the Telangana Sambharalu and Bathukamma Festivals in 2017, for 250 people from across Adelaide,  to strengthen community unity, cross cultural awareness and participation in the community.",Whole of metropolitan area,"$2,150 "
South Australia Telangana Association,Purchase of basic assets for SA Telangana community,"Purchase equipment the organisation needs to delivery community events for its members to support community unity, cross cultural awareness and participation in the community.",Whole of metropolitan area,"$3,100 "
South Australian Bangladeshi Community Association (SABCA),'Boishakhi Utshab (Bengali New Year Festival) 2017,"Contribute to the 'Boishakhi Utshab (Bengali New Year Festival) 2017 for 700 culturally diverse people to encourage mutual respect, understanding and community unity.",Whole of metropolitan area,"$3,000 "
South Australian Country Fire Service,Purchase of Medical Equipment,A contribution towards the cost of a Defibrillator and Oxygen Therapy kit to assist 31 volunteers.,Northern Adelaide,"$1,304 "
South Australian Country Women's Association - Ligurian Ladies,Enhancing Skills and Wellbeing on Kangaroo Island,"A grant to assist the volunteers who promote the welfare and conditions of life for 150 women and children on Kangaroo Island through the running of short courses and seminars in areas such as cookery, craft, child safety, first aid, fire safety (including bush fire safety), mechanics and basic machine maintenance and other areas that the community requires.",Fleurieu and Kangaroo Island,"$3,250 "
South Australian Sea Rescue Squadron Inc,"Replacement & Upgrade of ""Stormy Seas"" Life Jackets","Contribute funds to a $12,700 project to purchase equipment to ensure the health and safety of 46 volunteers from the Yorke and Mid North, Fleurieu and Kangaroo Island and metropolitan Adelaide.","Fleurieu and Kangaroo Island, Yorke and Mid North, Whole of metropolitan area","$2,330 "
St Vincent De Paul Society (SA) Inc,Mens Shelter breakfast program,"Upgrade the Men?s Shelter at Whitmore Square, Adelaide to support services provided to 17,000 homeless men each year, including those that are indigenous, migrant/refugees, suffering from complex & severe mental health disorders, or suffering from alcohol and drug addiction.",Whole of metropolitan area,"$34,285 "
Sudden Infant Death Syndrome Association of SA Inc T/A SIDS and Kids SA,Smart phones for Counsellors,Purchasing 2 mobile phones for counsellors who assist 200 people experiencing grief following the death of a child.,Whole of metropolitan area,"$1,241 "
Sudden Infant Death Syndrome Association of SA Inc T/A SIDS and Kids SA,Greening up SIDS and Kids SA,Purchasing a variety of garden equipment to assist 40 Volunteers maintaining the gardens.,Whole of metropolitan area,"$1,441 "
Sudden Infant Death Syndrome Association of SA Inc T/A SIDS and Kids SA,Car purchase,Purchase a vehicle to assist with the delivery of counselling services throughout South Australia.,"Statewide, Whole of metropolitan area","$20,000 "
Sudden Infant Death Syndrome Association of SA Inc T/A SIDS and Kids SA,Storage and Volunteer work and meeting area upgrade,Purchase equipment the organisation needs to support its 100 volunteers by providing a safe work environment.,Whole of metropolitan area,"$2,319 "
Swiss Club of South Australia Inc.,50th Anniversary Fasnacht Celebration,Contribute to the 50th Anniversary Fasnacht Celebration for 150 culturally diverse adults to encourage culturally awareness and community participation.,Statewide,"$4,036 "
SYC Ltd,Volunteer & Mentor Professional Development Workshop Program,Develop and run a 12 month Professional Development Program to improve the skills and knowledge of 70 volunteers working with young people experiencing disadvantaged from across metropolitan Adelaide.,Whole of metropolitan area,"$19,713 "
SYC Ltd,Youth Space ? A safe place for youth experiencing or at risk of homelessness,"Develop and promote a dedicated Youth Space, offering young people experiencing or at risk of homelessness, a welcoming, easily accessible and safe place where they can have a meal, a shower, access or recharge a phone, access a computer/the internet, engage in planned activities and interact with others ? staff, volunteers and peers.",Whole of metropolitan area,"$40,992 "
Tailem Bend Community Centre Inc.,Magnifying Monitors,Purchase IT equipment to support 40 older and vision impaired volunteers to provide administrative support to disadvantaged and socially isolated community members from the Murray and Mallee region.,Murray and Mallee,"$2,228 "
Tanzanian Community Assocation of South Australia,Tanzania Family Day Out,"Contributing towards the costs of the Tanzania Family Day Out in October 2016, a chance for 500 people from disadvantaged families to build networks and relationships.","Fleurieu and Kangaroo Island, Southern Adelaide","$1,525 "
Tea Tree Gully Country Fire Service,Holmatro CU 4007 C Mini Cutter,"Purchase equipment to support 60 volunteers of the Adelaide Hills and North Eastern metropolitan communities, to significantly enhance rescue capabilities in emergency situations.",Northern Adelaide,"$4,723 "
Technical Aid to the Disabled SA Inc.,Photocopier Replacement,Purchase a new photocopier to contribute towards a more efficient administration system.,Statewide,"$7,000 "
Teen Challenge SA,"Re-roofing client and volunteer rehabilitation facilities, upgrading dirt track.","Contribute towards the repair of two houses, with the re-roof of two houses  at the Norton Summit facility.",Statewide,"$23,600 "
"The Association of the Burundian Community of SA Inc,",BURUNDIAN COMMUNITY 12TH ANNIVERSARY AND MULTICULTURAL INDEPENDENCE DAY CELEBRATION,A contribution towards costs of running the Burundian Community 12th Anniversary and Multicultural Independence Day Celebration on the 1 July 2017. An event for 700 primarily Burundians.,Whole of metropolitan area,"$3,500 "
"The Association of the Burundian Community of SA Inc,",Soccer Community Event,"Purchase equipment to support 300 young Burundian, Rwandan and Congolese people from Northern Adelaide, to participate in recreational activities that provide social interaction and community togetherness.",Northern Adelaide,"$2,350 "
The Dante Alighieri Society of South Australia,Italian Playgroup Project ?Dante Alighieri Kids?,Fund a pilot Italian themed playgroup program for 150 young children and families who are culturally diverse to encourage cultural awareness.,Whole of metropolitan area,"$4,995 "
The Flinders Ranges Council,Kitchen Infrastructure Redevelopment,"Upgrade the facility at 10 Seventh Street, Quorn, to provide kitchen facilities in the Quorn Men's Shed to support disadvantaged and socially isolated men.",Far North,"$8,000 "
The Food Embassy,"Storytelling and yummy food in Aldinga, Hackham West and Sellicks Beach Community Gardens","Deliver six story telling and cooking sessions in partnership with the City of Onkaparinga, Community Health Onkaparinga and the Aldinga Community Centre, for disadvantaged families (180 people including young children) from the Aldinga, Hackham and Sellicks Beach area. The project will use the produce of the respective community gardens and will provide an opportunity for marginalised families to connect with each other, gain increased awareness of community gardens and increase healthy eating.",Southern Adelaide,"$2,300 "
The House Of Arts & Culture - Seeking The Light,Valentine Night,Contribute towards a Valentines Day festival for 400 Middle Eastern people from across Eastern Adelaide to promote community connection.,Eastern Adelaide,"$3,500 "
The Hut Community Centre Inc.,Caring for our Community,Purchase equipment to support services that enhance the wellbeing of 150 disadvantaged and socially excluded people from the Adelaide Hills region.,Adelaide Hills,"$4,980 "
The Lady Gowrie Child Centre,Circle of Security Parenting Program for parents / caregivers of children living with Autism,A grant to deliver the Circle of Security Parenting Program (COS-P) with a specific focus for parents/caregivers of children living with Autism. The program is designed to enhance attachment security between parents and children.,Whole of metropolitan area,"$19,520 "
The Latvian Relief Society of Adelaide Daugavas Vanagi Inc.,A new oven and stove for the kitchen,Purchase kitchen equipment for volunteers to provide low cost meals to 900 elderly members of the Latvian community from the Southern Adelaide region.,Eastern Adelaide,"$2,098 "
The Road Home - The Repat Foundation,Art Therapy as a Healing Approach,"Provide funding for five art therapy classes one day per week for 250 disadvantaged and socially excluded veterans, who are experiencing mental health issues to increase resilience and communication.",Whole of metropolitan area,"$5,000 "
The Scout Association of Australia (SA Branch),Installation of Wheelchair Ramp at Nyroka Camp Function Centre,"Install an access ramp to the Nyroka Camp Function Centre to support 2,000 socially isolated people with a disability or limited mobility to enter the facility.",Eyre and Western,"$5,000 "
The Scout Association of Australia (SA Branch),Installation of safety equipment,Upgrading safety equipment at the Roonka Water Activity Centre.,Murray and Mallee,"$8,073 "
The Scout Association of Australia (SA Branch),Southern Mallee Scouts Group - Equipment and Resources,"Purchase equipment to assist 50 rural children from the Southern Mallee Scouts Group. Equipment will be used for recreational activities to build skills, confidence and enable children from remote areas to participate in scouting activities.",Murray and Mallee,"$5,000 "
The Slovenian Club Incorporated,Enhancing Communication and Engagement,Purchase computing equipment to support correspondence management with members and other culturally diverse community groups.,Statewide,"$5,000 "
The Tatiara Men's Shed Inc,Woodworking Bandsaw,Purchase equipment to support 60 disadvantage and isolated people to improve their wellbeing and resilience.,Limestone Coast,"$3,002 "
The Terowie Citizens'Association Inc.,New split system air conditioner for Information Center,Purchase a split system air conditioner for the Terowie Information Centre to support The Terowie Citizens Association Inc. recruit and retain volunteers by providing a comforting working environment.,Yorke and Mid North,"$3,005 "
The Uniting Church in Australia Property Trust (SA),Hope's Cafe  upgrade,"Contribute to the refurbishment of the Hope Cafe's kitchen to increase its capacity to support 200 people per week who are disadvantaged, culturally diverse and socially isolated.",Eastern Adelaide,"$5,000 "
The Uniting Church in Australia Property Trust (SA),Equipment for Op Shop,"Purchase equipment to establish an Op Shop in western Adelaide, providing support for 4,000 disadvantaged community members.",Western Adelaide,"$1,748 "
The Vietnamese Catholic Community In SA Inc.,Family day,Bringing together 1500 Vietnamese people across Adelaide to celebrate a Family Day.,Northern Adelaide,"$3,500 "
The Yankalilla & Districts Community Men's Shed Inc.,"To buy, install  a dust extraction system",Purchasing a dust extractor to improve the health and safety for 30 disadvantaged men.,Fleurieu and Kangaroo Island,"$4,950 "
Tumby Bay Progress Association Inc.,Function Seating and  Round Table Eating in the Memorial Hall for all.,"Contribute funds to a $38,000 project to purchase equipment to improve the use of the community hall to benefit various community groups in the Tumby Bay region and increase connectivity between community members.",Eyre and Western,"$11,840 "
Turkish Association of South Australia Inc.,Celebrating Turkish Republic,"Bring together 200 socially isolated Turkish, Uzbek, Tatar, Kurdish, Bosnian and Australian people from across South Australia, to celebrate the Turkish Republic on 29th October 2016, to build relationships, communicate and socialize.","Whole of metropolitan area, Adelaide Hills, Eastern Adelaide, Murray and Mallee, Northern Adelaide, Southern Adelaide, Western Adelaide","$2,367 "
Umoona Community Council Inc,Mobile Assistance Patrol Service Bus,"Purchase a bus to complement  safe services provided by the mobile assistance program for 5,000 disadvantaged Aboriginal people from Coober Pedy.",Far North,"$50,000 "
United Sudanese Community Association,Equipment to Enable Outdoor Community Events,Purchase equipment to support community activities for 150 Sudanese people from across Northern Adelaide.,Northern Adelaide,"$4,924 "
Uniting Communities Incorporated,New ROADS SMART Recovery Groups Program,"Contribute funds to a $10,000 project to train 10 'New ROADS' clients to support their recovery and become 'SMART Recovery' peer facilitators, increasing community members' access to programs supporting drug and alcohol issues in the Southern Adelaide region.","Northern Adelaide, Southern Adelaide","$2,500 "
UnitingCare Wesley Country SA Inc.,Whyalla Stuart Connections Project,"Employ a part time Connections Worker for 12 months to work with the Whyalla Services Group to conduct a structured needs assessment to build the capacity and resilience of the community and service system to respond to changes in Whyalla, and support 500 people who are experiencing financial hardship and upheaval.",Eyre and Western,"$40,660 "
Vietnam Veterans Association of Australia Northern Suburbs Sub Branch SA,Club Copy,Purchasing a new photocopier to assist 170 veterans across South Australia.,Whole of metropolitan area,"$4,386 "
Vietnamese Community in Australia / South Australia Chapter Inc.,Trung Thu - Vietnamese Children's Full Moon Festival,"Contribute funds to the Vietnamese Children's Full Moon Festival on 11 September 2016. The festival will engage 2,000 Vietnamese children and their families, together with cultural groups from the wider northern and western Adelaide community, to connect people with each other and their cultural traditions.","Northern Adelaide, Western Adelaide","$4,000 "
Vietnamese Women's Association SA Inc,Looking back...Looking forward,Contribute funds towards the 20th anniversary celebration for 500 past and present culturally and linguistically diverse volunteers.,Whole of metropolitan area,"$13,274 "
Viti (Fiji) Association of South Australia Incorporated,FIJI DAY CELEBRATION: CULTURAL DINNER AND ENTERTAINMENT EVENING,Celebrate the Fijian National Day on Saturday 8 October 2016 for 350 people from across South Australia providing an opportunity to connect and socialize together.,"Whole of metropolitan area, Statewide","$3,000 "
Volunteering SA&NT inc,Volunteer Management Conference:Leading Volunteers,"Fund conference participation for 20 rural volunteers from culturally and linguistically diverse communities, to attend a 2 day 'Leading Volunteers' conference in June 2017, to enhance skills and knowledge.","Whole of metropolitan area, Eyre and Western, Limestone Coast","$16,500 "
Waikerie Men's Shed Inc,"Re-engaging, re-skilling, re-vitalising Waikerie and District Community Males","Contribute towards the building of a new shed to encourage further male attendance and participation, thereby improving men's health and lifestyle in the community.",Murray and Mallee,"$50,000 "
Wandearah Memorial Institute,Replacement of aged Chairs & Tables in line with WHS responsibilities,Purchase equipment to support volunteers and 900 community members from Port Pirie to participate in activities at the community hall that promote social inclusion.,Yorke and Mid North,"$18,580 "
West Coast Community Services Incorporated,Access Accommodation - Jack Martin Court,A grant to assist with fitting out the Jack Martin Court short term accommodation unit.,Eyre and Western,"$5,000 "
Whyalla Ripples Support Group Incorporated,Whyalla Ripples Community Education around the drug ICE for 2017,"Providing childcare facilities, with the assistance of a registered child care worker sourced by Gabmididi Manoo Kindergarten in Whyalla, to enable people to attend the Whyalla Ripples Community Education Ice Program.","Eyre and Western, Far North, Yorke and Mid North","$5,000 "
Whyalla Unit SES,Safer Community,"Purchase equipment to support the safety of 30 volunteers across the Eyre, Western, and Far North regions.","Eyre and Western, Far North","$1,980 "
Willunga & District Returned Services League,Refreshment Reno,Upgrading the facilities at the Willunga & District Returned Services League to provide a better and safer working environment and cope with an increased demand.,Fleurieu and Kangaroo Island,"$10,485 "
Wiri Miya Aboriginal Corporation,Gynburra Festival,"Celebrate the Gynburra Festival on 26 January 2017 for 1,300 Aboriginal people from Yorke Peninsula to improve social and emotional well-being.",Yorke and Mid North,"$5,000 "
YMCA of SA,Upgrade and replace outdated and damaged audio equipment,"Contribute funds to a $14,000 project to purchase equipment to support 10,284 disadvantaged and socially excluded community members in the Port Adelaide Enfield region participate in and experience theatre performances in a more usable and affordable venue.",Western Adelaide,"$11,031 "
Yorke Peninsula Community Transport Inc,Manual Handling Training for Community Transport Volunteers,"Contributing towards manual handling training for Community Transport volunteers, a program aimed to assist volunteers to undertake duties such as helping clients to walk and carry personal items.",Yorke and Mid North,"$3,300 "
Zomi Innkuan Adelaide,Zomi Thanks Giving Day,Bringing together 150 Zomi people across Northern Adelaide to celebrate the Zomi Thanks Giving Day.,Northern Adelaide,"$5,000 "
Zomi Innkuan Adelaide,Office Equipment and Cooking Utensils,Purchase equipment to support the organisation's committee and volunteers with their regular activities and community events that will benefit 100 culturally diverse community members.,Northern Adelaide,"$5,000 "
Zomi Innkuan Adelaide,Zomi Nam Ni@Zomi National Day Celebration,Celebrate the Zomi National Day on 18th February 2017 for 120 people from Salisbury to improve unity and cultural awareness.,Northern Adelaide,"$2,000 "
Zonta Club of Clare &  Districts Inc,PA System for Zonta Club of Clare & Districts,Purchase equipment to support 25 volunteers to provide activities across the Yorke and Mid North region that build community awareness on issues such as domestic violence and women's equality.,Yorke and Mid North,"$2,000 "
